"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"pavlovia","0","4","0.0-0.0","63d13b44f511eff0aef876f2","bdp_wmem","Sun Mar 12 2023 21:05:39 GMT-0700 (Pacific Daylight Time)","566945","Match,No Match","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","2582","0.0-1.0","63d13b44f511eff0aef876f2","bdp_wmem","Sun Mar 12 2023 21:05:39 GMT-0700 (Pacific Daylight Time)","566945","Match,No Match","[{""page_index"":0,""viewing_time"":2578}]","2578","","","","","","","","","","","","","","","","","","",""
"","","","","63d13b44f511eff0aef876f2","bdp_wmem","Sun Mar 12 2023 21:05:39 GMT-0700 (Pacific Daylight Time)","566945","Match,No Match","","","fullscreenenter","2","3684","fullscreenenter","","","","","","","","","","","","","","",""
"fullscreen","2","4676","0.0-2.0","63d13b44f511eff0aef876f2","bdp_wmem","Sun Mar 12 2023 21:05:39 GMT-0700 (Pacific Daylight Time)","566945","Match,No Match","","","","","","","true","","","","","","","","","","","","","",""
"instructions","3","70358","0.0-4.0","63d13b44f511eff0aef876f2","bdp_wmem","Sun Mar 12 2023 21:05:39 GMT-0700 (Pacific Daylight Time)","566945","Match,No Match","[{""page_index"":0,""viewing_time"":12521},{""page_index"":1,""viewing_time"":22832},{""page_index"":2,""viewing_time"":18296},{""page_index"":3,""viewing_time"":8729},{""page_index"":4,""viewing_time"":3303}]","65681","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","70862","0.0-5.0-1.0","63d13b44f511eff0aef876f2","bdp_wmem","Sun Mar 12 2023 21:05:39 GMT-0700 (Pacific Daylight Time)","566945","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","5","72366","0.0-5.0-2.0","63d13b44f511eff0aef876f2","bdp_wmem","Sun Mar 12 2023 21:05:39 GMT-0700 (Pacific Daylight Time)","566945","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw038.bmp","1","noMatchFace","i","1500","","","","",""
"html-keyboard-response","6","76366","0.0-5.0-3.0","63d13b44f511eff0aef876f2","bdp_wmem","Sun Mar 12 2023 21:05:39 GMT-0700 (Pacific Daylight Time)","566945","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","7","77680","0.0-5.0-4.0","63d13b44f511eff0aef876f2","bdp_wmem","Sun Mar 12 2023 21:05:39 GMT-0700 (Pacific Daylight Time)","566945","Match,No Match","","1310","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","1","trustrating_stim/white_mw038.bmp","1","noMatchFace","i","1500","trustrating_stim/white_mw042.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","8","78182","0.0-5.0-5.0","63d13b44f511eff0aef876f2","bdp_wmem","Sun Mar 12 2023 21:05:39 GMT-0700 (Pacific Daylight Time)","566945","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","9","78684","0.0-5.0-1.1","63d13b44f511eff0aef876f2","bdp_wmem","Sun Mar 12 2023 21:05:39 GMT-0700 (Pacific Daylight Time)","566945","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","10","81686","0.0-5.0-2.1","63d13b44f511eff0aef876f2","bdp_wmem","Sun Mar 12 2023 21:05:39 GMT-0700 (Pacific Daylight Time)","566945","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw078.bmp","1,0","noMatchFace","i","3000","","","","",""
"html-keyboard-response","11","85688","0.0-5.0-3.1","63d13b44f511eff0aef876f2","bdp_wmem","Sun Mar 12 2023 21:05:39 GMT-0700 (Pacific Daylight Time)","566945","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","12","86837","0.0-5.0-4.1","63d13b44f511eff0aef876f2","bdp_wmem","Sun Mar 12 2023 21:05:39 GMT-0700 (Pacific Daylight Time)","566945","Match,No Match","","1148","","","","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","2","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw078.bmp","1,0","noMatchFace","i","3000","trustrating_stim/white_mw092.bmp","green","Share","PRACTICE","0"
"html-keyboard-response","13","87338","0.0-5.0-5.1","63d13b44f511eff0aef876f2","bdp_wmem","Sun Mar 12 2023 21:05:39 GMT-0700 (Pacific Daylight Time)","566945","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","14","87841","0.0-5.0-1.2","63d13b44f511eff0aef876f2","bdp_wmem","Sun Mar 12 2023 21:05:39 GMT-0700 (Pacific Daylight Time)","566945","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","15","89343","0.0-5.0-2.2","63d13b44f511eff0aef876f2","bdp_wmem","Sun Mar 12 2023 21:05:39 GMT-0700 (Pacific Daylight Time)","566945","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw042.bmp","0","Match","e","1500","","","","",""
"html-keyboard-response","16","93345","0.0-5.0-3.2","63d13b44f511eff0aef876f2","bdp_wmem","Sun Mar 12 2023 21:05:39 GMT-0700 (Pacific Daylight Time)","566945","Match,No Match","","null","","","","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
